window_name,best_score,total_procurement_cost,total_profit,cvar99
window_01,-302455168.0,1515070464.0,92514688.0,4111986.25
window_02,-247918208.0,1546190848.0,556125568.0,5959721.0
window_03,-282409504.0,1991518336.0,-54892672.0,4703338.5
window_04,-335162208.0,1872447104.0,-164327136.0,6990292.5
window_05,-424734144.0,1621551360.0,-16675564.0,5898638.5
window_06,-465876480.0,1216557312.0,71862712.0,4439111.0
window_07,-399766720.0,1234806912.0,157918736.0,3422751.25
window_08,-394261440.0,1353635200.0,171321840.0,4027185.75
window_09,-428778112.0,994095744.0,358231840.0,3357949.75
window_10,-422213088.0,1036309888.0,92914104.0,3919914.5
